Word,Frequency,PMI,R_Entropy,L_Entropy
之,19548,80,8.250915121394515,8.754780323901699
以,9464,80,8.621042325238905,7.7300972712665335
而,8026,80,7.65257979317439,8.936925282617686
乐,7805,80,7.010927243479559,6.883827573640469
也,7754,80,8.249625655635658,7.552912375050659
其,5165,80,8.05529232489695,8.39058302453999
不,5064,80,7.538664689905543,7.268183519391375
为,4920,80,8.138518916119503,7.6005928941319345
于,4882,80,8.384513412597022,7.8489923749902495
则,4464,80,8.590437522065972,8.129301173442842
者,4236,80,7.509731501633502,8.095275538606835
有,3449,80,8.324929310697584,7.860033389297051
大,3356,80,6.834471121764592,7.3591273577344705
礼,2961,80,6.264854880960602,6.6644741989253236
所,2875,80,4.925831348124652,6.881688274245925
声,2800,80,7.190731359306632,6.318795597147789
舞,2590,80,7.006286614876276,6.837998616609775
人,2469,80,7.340494807369238,7.06194536745983
曰,2459,80,8.64219431090556,6.7244866290657965
子,2246,80,7.0854426640159875,5.443158440240807
故,2212,80,6.65409641226383,7.130344217557604
天,2156,80,4.5828111991887726,7.149778045894189
一,2056,80,7.007868660149227,7.0859124677754695
钟,1993,80,6.36521702684945,5.660880038796529
鼓,1900,80,7.069915206387251,7.084028397445698
十,1899,80,4.476532653751418,6.111848836666844
谓,1828,80,5.367783609031865,6.214423493521878
言,1777,80,7.268469994128838,7.0475668259867685
歌,1726,80,6.9664186287127,6.735455136920706
王,1704,80,6.559023982717595,5.864950852325111
中,1623,80,7.123069833259024,7.446013950123945
四,1599,80,6.077205251550178,6.7850973273074775
音,1598,80,6.622924344077886,5.232771684639881
矣,1578,80,7.432785327957411,7.361462884093954
下,1571,80,6.802359588280729,5.12048362062023
二,1571,80,6.381196856495491,6.159469248024283
五,1486,80,6.303038336161127,7.199078597672093
三,1474,80,6.907532863653236,7.29989923191606
然,1437,80,5.563825920053906,6.7095600261905295
是,1423,80,6.263520823394603,7.40250612200692
用,1400,80,6.7722427526348286,7.095818480560679
非,1361,80,6.9958941303065885,6.982074398820312
六,1341,80,6.274160506318488,6.4812123675637325
无,1281,80,7.249694994779501,7.0464842019440095
后,1274,80,7.216117710988952,5.847948233746739
亦,1270,80,6.532674731235544,7.425947710615338
此,1257,80,6.8506163182763045,5.964321523407531
上,1240,80,6.740637410516992,6.894364518735002
和,1227,80,6.377660874136277,6.206260102471817
乎,1224,80,7.489598900298269,7.416820514561394
奏,1189,80,6.63197906771978,6.871504971231849
焉,1165,80,7.005297893242734,7.395162475784651
先,1156,80,5.036762240388215,6.811633501488521
作,1139,80,6.4487853148425724,6.851637663131763
成,1129,80,6.37546431012756,6.584689513923725
可,1123,80,5.24627297491545,5.9909272689783135
在,1107,80,6.944801831686272,7.1011323325805416
文,1056,80,5.995630020578906,6.736155360123752
书,1051,80,3.8297691515398906,3.5260788164576455
至,1038,80,6.211590259594428,6.944103664822638
道,999,80,6.2058559051660085,5.220441142826339
与,989,80,7.386643209557283,7.273785936677061
